2016-06-06 17:52:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[71]------ 验证签名证书目录 :>ThinkPHP/Library/Org/Pay/UnionPay/certs/ 
2016-06-06 17:52:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[81]------ 加载验签证书成功 
2016-06-06 17:52:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[50]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=68759585097&currencyCode=156&encoding=utf-8&merId=777290058127246&orderId=E1465206440&queryId=201606061747205744168&respCode=00&respMsg=success&settleAmt=173400&settleCurrencyCode=156&settleDate=0606&signMethod=01&traceNo=574416&traceTime=0606174720&txnAmt=173400&txnSubType=01&txnTime=20160606174720&txnType=01&version=5.0.0 
2016-06-06 17:52:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[54]------ 摘要shax16>a5af6d9615cdd6ac53a727c7ecca51d91ef64d98 
2016-06-06 17:52:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[56]------ 验签成功 
2016-06-06 17:55:27, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-06-06 17:55:27, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayBack&merId=777290058127246&orderId=E1465206927&signMethod=01&txnAmt=200000&txnSubType=01&txnTime=20160606175527&txnType=01&version=5.0.0 
2016-06-06 17:55:27, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >50f20dd3e3fc88e6e552f0cd5bbe3bc95cbaec35 
2016-06-06 17:55:27, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >fJ3ngpXqA8R4+SuHiJVVYTqr6t1oQCuc+XDHUmBSEb3A0/l92MH9ysg77NJo7iCucPnpisuCeIjuFqC7lKC29OV55B7cA2pQHp17csuqqGAbDklqi1FR6U1QcIsWBg6K42ioqbwJlejy+yXt4gbgb82YqQsnm/+uS7i8GaZPG9g= 
2016-06-06 17:55:27, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
