2016-04-12 16:19:12, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[63]------ ============处理前台请求 结束=========== 
2016-04-12 16:44:28, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-04-12 16:44:28, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[26]------ 240000 
2016-04-12 16:44:28, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[50]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-04-12 16:44:28, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-04-12 16:44:28, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://wmk223.imwork.net/Mobile/Pays/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://wmk223.imwork.net/Mobile/Pays/UnionPayBack&merId=777290058127246&orderId=E1460436486&signMethod=01&txnAmt=240000&txnSubType=01&txnTime=20160412164428&txnType=01&version=5.0.0 
2016-04-12 16:44:28, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >f9fa5d79912df26a990f29f958ea145998f473d0 
2016-04-12 16:44:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >JaEJFFtJA1yuQuiP/qy6wnD+ZhHGshJb/uLZowg0+vx+IQakgYfyBQBiFWwqA2ZHMVL7/Uu7TtM5dXWHXbo3+aKpPgTXnPRkn0Gu0bVPtMcCRAsEo9U6kKruhZCwk1PadKDLptzekYSh4V8+Qpf9NUa7uSBs6BFHFaH6+YYJIjk= 
2016-04-12 16:44:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-04-12 16:44:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[56]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-04-12 16:44:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[60]------ -------前台交易自动提交表单>--begin---- 
2016-04-12 16:44:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[62]------ -------前台交易自动提交表单>--end------- 
2016-04-12 16:44:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[63]------ ============处理前台请求 结束=========== 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[26]------ 240000 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[50]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://wmk223.imwork.net/Mobile/Pays/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://wmk223.imwork.net/Mobile/Pays/UnionPayBack&merId=777290058127246&orderId=E1460436486&signMethod=01&txnAmt=240000&txnSubType=01&txnTime=20160412164457&txnType=01&version=5.0.0 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >f43a97894f2183a4e83ae4a3edc6626baa95ac12 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >cfblPa/CRfRrj25acq9I5z75GHmiO9BZfq8Ovp/5prfxE+oaodyVB5uOEX39I05ZL9VI+gUq7SL1xdjI2mGxNUMZnn7ZInpJqvX1mPvAiQ7Kzs4NdgrKRa9Cz2hX1OzQ3bCHQicFvKvAzcZJ3jn5VOAHH+SO6IZ0S/IcA9WIJ1A= 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[56]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[60]------ -------前台交易自动提交表单>--begin---- 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[62]------ -------前台交易自动提交表单>--end------- 
2016-04-12 16:44:57, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[63]------ ============处理前台请求 结束=========== 
2016-04-12 18:15:03, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-04-12 18:15:03, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[26]------ 240000 
2016-04-12 18:15:03, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[50]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-04-12 18:15:03, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-04-12 18:15:03, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://wmk223.imwork.net/Mobile/Pays/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://wmk223.imwork.net/Mobile/Pays/UnionPayBack&merId=777290058127246&orderId=E1460436486&signMethod=01&txnAmt=240000&txnSubType=01&txnTime=20160412181503&txnType=01&version=5.0.0 
2016-04-12 18:15:03, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >8867df31582eb69fe0e855842fb6fd89513d78dc 
2016-04-12 18:15:04, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >ZA3txDuJe7c5dSOAJ617QdhJ6TLJJSuwL6bYP1Ko7k+gMb8SMWlXzQn3RCFlqGZ6slz1VbD9bDGCVQbi9CWvGGbrf8fstnd/LQnaPUHssTbMt7tA/VYg/Ecs8GhMd3mkzqNbqyIJYDZVYXPmrTvUA+IhKZG5Ew03XJM8u2KmJHE= 
2016-04-12 18:15:04, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-04-12 18:15:04, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[56]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-04-12 18:15:04, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[60]------ -------前台交易自动提交表单>--begin---- 
2016-04-12 18:15:04, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[62]------ -------前台交易自动提交表单>--end------- 
2016-04-12 18:15:04, INFO, 192.168.0.106, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[63]------ ============处理前台请求 结束=========== 
